name,rarity,source,details,wiki_page,image_url
Respiration Artifact,RARE,Crafting Recipe,Puff Cruxes,https://wiki.hypixel.net/Respiration_Artifact,https://wiki.hypixel.net/images/d/de/SkyBlock_items_respiration_artifact.png
Crux Talisman,UNCOMMON,Crafting Recipe,Shy Cruxes,https://wiki.hypixel.net/Crux_Talisman,https://wiki.hypixel.net/images/a/a0/SkyBlock_items_crux_talisman_1.png
Crux Ring,UNCOMMON,Upgrade,Crux Talisman,https://wiki.hypixel.net/Crux_Ring,https://wiki.hypixel.net/images/e/e5/SkyBlock_items_crux_talisman_2.png
Crux Artifact,RARE,Upgrade,Crux Ring,https://wiki.hypixel.net/Crux_Artifact,https://wiki.hypixel.net/images/c/ca/SkyBlock_items_crux_talisman_3.png
Crux Relic,EPIC,Upgrade,Crux Artifact,https://wiki.hypixel.net/Crux_Relic,https://wiki.hypixel.net/images/d/d2/SkyBlock_items_crux_talisman_4.png
Crux Heirloom,LEGENDARY,Upgrade,Crux Relic,https://wiki.hypixel.net/Crux_Heirloom,https://wiki.hypixel.net/images/0/0a/SkyBlock_items_crux_talisman_5.png
Crux Chronomicon,MYTHIC,Upgrade,Crux Heirloom,https://wiki.hypixel.net/Crux_Chronomicon,https://wiki.hypixel.net/images/c/c5/SkyBlock_items_crux_talisman_6.png
Celestial Starstone,DIVINE,Upgrade,Crux Chronomicon,https://wiki.hypixel.net/Celestial_Starstone,https://wiki.hypixel.net/images/5/54/SkyBlock_items_crux_talisman_7.png
Harmonious Surgery Toolkit,UNCOMMON,Shop Purchase,Argofay Bugshopper,https://wiki.hypixel.net/Harmonious_Surgery_Toolkit,https://wiki.hypixel.net/images/2/2c/SkyBlock_items_harmonious_surgery_toolkit.png
Warding Trinket,EPIC,Reward,Sorcerer Okron,https://wiki.hypixel.net/Warding_Trinket,https://wiki.hypixel.net/images/d/dc/SkyBlock_items_warding_trinket.png
Defective Monitor,EPIC,Reward,Unhinged Kloon,https://wiki.hypixel.net/Defective_Monitor,https://wiki.hypixel.net/images/1/1d/SkyBlock_items_defective_monitor.png
Ring Of Broken Love,LEGENDARY,Reward,Detective Amog,https://wiki.hypixel.net/Ring_Of_Broken_Love,https://wiki.hypixel.net/images/5/5a/SkyBlock_items_ring_of_broken_love.png
Ring Of Eternal Love,LEGENDARY,Reward,Joliet,https://wiki.hypixel.net/Ring_Of_Eternal_Love,https://wiki.hypixel.net/images/6/63/SkyBlock_items_ring_of_eternal_love.png
Punchcard Artifact,EPIC,Auction,Barrier Street,https://wiki.hypixel.net/Punchcard_Artifact,https://wiki.hypixel.net/images/5/5a/SkyBlock_items_punchcard_artifact.png
Perma-Jelled Garlic-Flavored Re-Heated Gummy Polar Bear,EPIC,Crafting Recipe,Vampire Slayer,https://wiki.hypixel.net/Perma-Jelled_Garlic-Flavored_Re-Heated_Gummy_Polar_Bear,https://wiki.hypixel.net/images/7/7e/SkyBlock_items_garlic_flavored_gummy_bear.png
Combo Mania,UNCOMMON,Shop Purchase,Oruo The Almighty,https://wiki.hypixel.net/Combo_Mania,https://wiki.hypixel.net/images/a/ad/SkyBlock_items_combo_mania_talisman.png
Satelite,LEGENDARY,Crafting Recipe,Timite Collection V,https://wiki.hypixel.net/Satelite,https://wiki.hypixel.net/images/1/12/SkyBlock_items_satelite.png
